Atlas Learning,Andrew Miller & Dakota Gordon & ,2013,1-10 employees,Angel or Seed Funding,Education,Cloud and Software Dev Tools,B2B SaaS,Startup,atlaslearning.net,https://www.linkedin.com/company/atlas-learning-inc-/about/,"1011 San Jacinto Blvd, Suite 303, Austin, Texas 78701"
Atlas Reality,Beau Button & Chris Handloser & Sami Khan & ,2016,11-50 employees,Self-funded,Education,Games and Entertainment,Consumer,Small,www.cerberusinteractive.com,https://www.linkedin.com/company/cerberus-interactive/about/,"500 e W Whitestone Blvd, #3698, Cedar Park, Texas 78630, US"
Atlassian,Steve Goldsmith & Robert Chatwani & Mike Cannon-Brookes & ,2002,1001-5000 employees,Public,Horizontal,Cloud and Software Dev Tools,B2B SaaS,Large,https://www.atlassian.com/company/careers/,https://www.linkedin.com/company/atlassian/about/,"303 Colorado St., Ste. 1600, Austin, TX 78701 USA"
Atmosphere,Jordan Wagner & Eric Spielman & Leo Resig & ,2018,11-50 employees,VC-funded,"Entertainment, Hospitality, Travel",On-Demand Services,B2B SaaS,Small,https://atmosphere.tv/careers/,https://www.linkedin.com/company/atmospheretv/about/,"98 San Jacinto Blvd, Suite 160, Austin, TX , 78701"
Atrad by Ironone Technologies,Marko Garafulic & ,2006,51-200 employees,Self-funded,Financial Services,Analytics and BI,B2B SaaS,Medium,https://www.irononetech.com/careers/,https://www.linkedin.com/company/ironone-technologies-llc/about/,"9600 Great Hills Trail, Suite 150W, Austin, Texas US"
AudioFusion,Brandon Leafblad & ,2020,1-10 employees,VC-funded,"Entertainment, Hospitality, Travel",On-Demand Services,B2B SaaS,Startup,Startup,audiofusionsystems.com,"Austin, TX"
Aunt Bertha,Jaffer Traish & Erine Gray & ,2010,51-200 employees,VC-funded,"Entertainment, Hospitality, Travel",Personal Finance,Consumer,Medium,https://www.indeed.com/cmp/Aunt-Bertha-2/jobs/,https://www.linkedin.com/company/aunt-bertha-inc./about/,"3616 Far West Blvd., Suite 117-454, Austin, TX 78731"
Aurea Software,Eric Levine & Scott Brighton & ,2012,501-1000 employees,Self-funded,Horizontal,Marketplace,B2B SaaS,Large,www.aurea.com,https://www.linkedin.com/company/aurea-software/about/,"401 Congress Avenue, Suite 2650, Austin, Texas 78701, US"
Austin Coding Academy,Daniel Cumming & Kevin Colten & ,2014,11-50 employees,Self-funded,Horizontal,Personal eLearning,Consumer,Small,austincodingacademy.com,https://www.linkedin.com/school/austincodingacademy/about/,"701 Brazos St, 5th Floor, Austin, TX 78701, US"
Austin Properties Group,Ryanne Vaughan & ,2000,11-50 employees,Self-funded,Horizontal,Personal Real Estate,Consumer,Small,austinpropertiesgroup.com,https://www.linkedin.com/company/austin-properties-group/about/,"1801 S. Mopac Suite 100, Austin, Texas 78746, US"
